CUT,NOMBRE,escudo,PROVINCIA,REGION,SUPERFICIE,POBLACION,DENSIDAD,IDH,asdf,LATTITUD,LONGITUD
12402,Torres del Paine,Escudo de Torres del Paine,ultima Esperanza,Bandera de la Region de Magallanes y de la Antartica Chilena Magallanes y Antartica Chilena,6630,1021,015,073,Alto,-50°58'552",-72°29'564"
13101,Santiago,Escudo de Santiago,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,232,503147,218759,0807,Muy alto,-33°26'14",-70°39'26"
13102,Cerrillos,Escudo de Cerrillos,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,21,88956,4236,0743,Alto,-33°30'0",-70°43'0"
13103,Cerro Navia,Escudo de Cerro Navia,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,11,142465,129513,0683,Medio,-33°25'192",-70°44'6"
13104,Conchali,Escudo de Conchali,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,107,139195,126540,0707,Alto,-33°22'48",-70°40'30"
13105,El Bosque,Escudo de El Bosque,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,142,172000,122857,0711,Alto,-33°34'12",-70°40'30"
13106,Estacion Central,Escudo de Estacion Central,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,15,206792,137861,0735,Alto,-33°27'324",-70°41'564"
13107,Huechuraba,Escudo de Huechuraba,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,448,112528,25006,0737,Alto,-33°22'48",-70°38'24"
13108,Independencia,Escudo de Independencia,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,7,142065,20295,0709,Alto,-33°24'468",-70°39'576"
13109,La Cisterna,Escudo de La Cisterna,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,10,100434,100434,0775,Alto,-33°31'444",-70°39'468"
13110,La Florida,Escudo de La Florida,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,702,402433,57490,0804,Muy alto,-33°31'30",-70°32'168"
13111,La Granja,Escudo de La Granja,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,10,122557,122557,0689,Medio,-33°31'60",-70°37'30"
13112,La Pintana,Escudo de La Pintana,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,306,189335,61075,0679,Medio,-33°34'588",-70°38'24"
13113,La Reina,Escudo de La Reina,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,23,100252,43587,0883,Muy alto,-33°26'348",-70°31'552"
13114,Las Condes,Escudo de Las Condes,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,99,330759,3341,0933,Muy alto,-33°25'0",-70°35'0"
13115,Lo Barnechea,Escudo de Lo Barnechea,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,1024,124076,1211,0912,Muy alto,-33°21'0",-70°31'0"
13116,Lo Espejo,Escudo de Lo Espejo,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,7,103865,148378,0657,Medio,-33°31'192",-70°41'132"
13117,Lo Prado,Escudo de Lo Prado,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,7,104403,149147,0715,Alto,-33°26'42",-70°43'336"
13118,Macul,Escudo de Macul,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,129,134635,103565,0806,Muy alto,-33°29'132",-70°36'144"
13119,Maipu,Escudo de Maipu,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,1355,578605,42544,0902,Muy alto,-33°31'0",-70°46'0"
13120,Ñuñoa,Escudo de Ñuñoa,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,169,250192,147171,086,Muy alto,-33°27'144",-70°36'144"
13121,Pedro Aguirre Cerda,Escudo de Pedro Aguirre Cerda,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,10,107803,107803,0708,Alto,-33°27'588",-70°38'12"
13122,Peñalolen,Escudo de Peñalolen,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,54,266798,49407,0743,Alto,-33°29'1028",-70°32'0"
13123,Providencia,Escudo de Providencia,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,143,157749,112677,0911,Muy alto,-33°26'6",-70°36'576"
13124,Pudahuel,Escudo de Pudahuel,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,197,253139,12849,0735,Alto,-33°26'0",-70°43'0"
13125,Quilicura,Escudo de Quilicura,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,58,254694,43912,0782,Alto,-33°21'396",-70°43'444"
13126,Quinta Normal,Escudo de Quinta Normal,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,13,136368,104898,0723,Alto,-33°25'372",-70°41'564"
13127,Recoleta,Escudo de Recoleta,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,16,190070,118793,0697,Alto,-33°24'216",-70°38'24"
13128,Renca,Escudo de Renca,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,24,160847,69933,0709,Alto,-33°23'528",-70°43'228"
13129,San Joaquin,Escudo de San Joaquin,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,97,103485,103485,0719,Alto,-33°29'276",-70°37'408"
13130,San Miguel,Escudo de San Miguel,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,100,133059,133059,0765,Alto,-33°29'9",-70°38'58"
13131,San Ramon,Escudo de San Ramon,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,7,86510,123585,0679,Medio,-33°31'60",-70°38'30"
13132,Vitacura,Escudo de Vitacura,Santiago,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,283,96774,34562,0949,Muy alto,-33°24'0",-70°36'0"
13201,Puente Alto,Escudo de Puente Alto,Cordillera,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,88,645909,73398,0773,Alto,-33°36'576",-70°34'12"
13202,Pirque,Escudo de Pirque,Cordillera,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,4453,30433,683,0807,Muy alto,-33°38'60",-70°33'504"
13203,San Jose de Maipo,Escudo de San Jose de Maipo,Cordillera,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,49948,18644,374,0759,Alto,-33°38'384",-70°21'108"
13301,Colina,Escudo de Colina,Chacabuco,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,9712,180353,1857,0726,Alto,-33°11'384",-70°40'48"
13302,Lampa,Escudo de Lampa,Chacabuco,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,452,126898,2807,0697,Medio,-33°17'96",-70°52'408"
13303,Til Til,Escudo de Til til,Chacabuco,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,653,21477,328,0709,Alto,-33°5'6",-70°55'30"
13401,San Bernardo,Escudo de San Bernardo,Maipo,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,155,334836,21602,0712,Alto,-33°34'552",-70°41'132"
13402,Buin,Escudo de Buin,Maipo,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,214,109641,5123,0731,Alto,-33°43'408",-70°44'204"
13403,Calera de Tango,Escudo de Calera de Tango,Maipo,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,733,28525,3907,0792,Alto,-33°37'408",-70°47'6"
13404,Paine,Escudo de Paine,Maipo,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,820,82766,1009,0718,Alto,-33°48'432",-70°43'228"
13501,Melipilla,Escudo de Melipilla,Melipilla,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,1345,141612,1052,0735,Alto,-33°41'204",-71°12'288"
13502,Alhue,Escudo de Alhue,Melipilla,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,845,7405,876,07,Alto,-34°1'588",-71°5'60"
13503,Curacavi,Escudo de Curacavi,Melipilla,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,693,36430,525,071,Alto,-33°23'564",-71°8'132"
13504,Maria Pinto,Escudo de Maria Pinto,Melipilla,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,3935,14926,378,0698,Alto,-33°30'54",-71°7'84"
13505,San Pedro,Escudo de San Pedro,Melipilla,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,788,11953,151,0701,Alto,-33°53'60",-71°28'12"
13601,Talagante,Escudo de Talagante,Talagante,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,126,81838,6495,0749,Alto,-33°40'12",-70°55'516"
13602,El Monte,Escudo de El Monte,Talagante,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,118,40014,3391,0688,Medio,-33°41'24",-71°1'12"
13603,Isla de Maipo,Escudo de Isla de Maipo,Talagante,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,189,40171,2125,0724,Alto,-33°45'144",-70°53'96"
13604,Padre Hurtado,Escudo de Padre Hurtado,Talagante,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,808,74188,9159,0728,Alto,-33°34'336",-70°47'60"
13605,Peñaflor,Escudo de Peñaflor,Talagante,Bandera de la Region Metropolitana de Santiago Metropolitana de Santiago,69,101058,14646,0753,Alto,-33°36'226",-70°52'3548"
